window_id,start_time,start_sample,end_sample,raw_rms,raw_max,eq_rms,eq_max,eq_low_rms,eq_low_max,traffic_rms,traffic_max,stalta_raw_mean,stalta_raw_max,stalta_eq_mean,stalta_eq_max,stalta_eq_low_mean,stalta_eq_low_max,stalta_traffic_mean,stalta_traffic_max,kurtosis_raw,kurtosis_eq,kurtosis_eq_low,kurtosis_traffic,eq_band_energy,eq_low_band_energy,traffic_band_energy,total_energy,eq_ratio,eq_low_ratio,traffic_ratio,low_to_high_ratio,spectral_centroid,spectral_spread,label
0,2025-11-27T17:06:29.059000Z,0,500,0.738515145901318,3.8813513814169904,0.3250054710612336,1.1764039697834359,0.15046547290066548,0.396528777231303,0.2780940217914308,1.2322152037734595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.006119711474714,2.0309770452219693,1.3738909388208285,2.8328097848783234,0.04499200696708881,0.02661213689556823,0.06997677731492069,0.1912304798498952,0.23527633763653832,0.1391626319326341,0.36592899486136043,0.38029955048907266,8.855850857035552,7.549858130952938,0
1,2025-11-27T17:06:31.559000Z,250,750,2.16339219492725,8.201922866694721,1.235146630870407,4.032333454287814,0.530608948150261,1.7810245816068857,0.9092965460662754,4.114823110135526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2087445850280494,1.4316676656451524,0.9075599560219265,2.8026779514137754,0.5635577531960851,0.4247658838023645,0.9733180830405723,2.530806084224889,0.22267915218262102,0.16783817868672224,0.3845881709661734,0.4364101430559955,8.124254191087825,7.339447536990246,0
2,2025-11-27T17:06:34.059000Z,500,1000,5.1510502652808965,21.89890318545056,2.9722223081699206,13.253029870482177,0.8544568807678755,1.8541131537625255,1.8279068546967516,7.620243682640904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.034478802146727,6.484372011990445,-0.7852567101112213,1.3374561886716387,1.2103560003199318,0.9087085444211569,4.2076912023518815,11.395548415583495,0.10621305409524126,0.0797424144300521,0.3692399039401131,0.21596369619320913,9.71089039106857,7.406369816111988,0
3,2025-11-27T17:06:36.559000Z,750,1250,8.647110268622232,29.591036208281988,5.826762858434888,15.248812136082893,3.0959751122402235,8.773599055320357,3.0100026414267327,8.443205249656376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6586036715552823,0.8389388484080444,0.9829723778164206,-0.07215960902969654,16.923317366730586,13.357614181656837,15.211322852561086,50.91275789201824,0.3323983627559581,0.26236280914031407,0.2987723211693456,0.8781362614639424,6.247489686442499,6.341404169498536,0
4,2025-11-27T17:06:39.059000Z,1000,1500,12.226354971105659,37.9957067468886,6.600392068594048,15.248812136082893,5.488588129571385,12.743808481638855,4.849969230027149,15.041159047122745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014676265398083643,0.04780660076193266,-0.3415892500028468,0.3726303008494902,36.984882279840306,25.573848734885548,34.83330099021268,112.66062748812595,0.3282857827478864,0.2269989907304417,0.30918788370722566,0.7341781573356417,7.11453422322616,6.867546984383736,0
5,2025-11-27T17:06:41.559000Z,1250,1750,17.790666014554446,61.630598099967415,11.622915913876588,32.23027777738501,6.375486968931549,16.15124483027236,6.874844301044108,17.433960587070285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0803439424195922,0.8302597852372728,-0.4356702676808961,-0.5127458186447851,69.50236923699225,48.35555652090238,57.36812851325207,222.71127009124132,0.31207387577865736,0.2171221802159817,0.2575896966943949,0.8428993201294327,7.692662060708568,7.4795081572921935,0
6,2025-11-27T17:06:44.059000Z,1500,2000,24.845219586744065,71.32964161798371,18.734028905468307,41.84539630510109,8.878396294221607,19.028847736634077,8.918074624646962,21.416809963345372,0.004359273912759091,2.1796369563795452,0.004197490813672714,2.098745406836357,0.008773813980762737,4.386906990381369,0.006947105372873944,3.473552686436972,0.18316443867786392,-0.5778609728482862,-0.6166590274742205,-0.6458499565362299,189.19342397879632,144.89569331806274,108.14625915549733,465.20453247255574,0.40668869448282285,0.31146664145319686,0.23247034714102677,1.3398123471815284,5.729533112865693,6.588457342082973,2
7,2025-11-27T17:06:46.559000Z,1750,2250,31.16849622941522,92.56459791844603,22.105200750382107,57.83328310220815,11.60148103620927,31.61395027211557,13.433325805779317,43.937481708872824,1.8594338211115191,4.877640620323207,1.4077815900338615,6.426797403362018,1.3329720446051005,5.473203769927398,2.5608653477718115,7.3638462572537655,-0.3563697717094909,-0.37326273530541076,-0.3029075887517889,0.35364698373754244,227.76303864576641,155.43384877586325,248.72880603748618,793.4193721413825,0.2870651343324545,0.1959037732546645,0.3134897064161081,0.6249129373156528,7.128329712076405,6.9085849934971355,2
8,2025-11-27T17:06:49.059000Z,2000,2500,33.42227245700066,92.83901017625108,19.399826469186017,57.83328310220815,15.37008136066962,32.4651770039208,16.024581535241584,43.937481708872824,3.208158770998806,4.877640620323207,2.4486010379990666,6.451891280742882,3.954512646772023,9.30787183909459,4.450393544231234,7.3638462572537655,-0.500403476709046,1.5885173245623934,-0.5146961765175759,-0.3449975685578317,288.68537814211527,205.79505854322312,421.04039481497205,1130.7167506577325,0.25531184354893727,0.18200407699231033,0.3723659303446399,0.48877746904477354,7.434712290164086,6.667040341143475,2
9,2025-11-27T17:06:51.559000Z,2250,2750,45.634377943583246,152.73081282742157,33.73183571500676,98.04948510735993,23.939116631091277,64.63509746740317,17.992860146215822,73.30882723813518,3.4039719835666644,6.387940182446191,3.18857872551751,9.204298977575784,4.471617328388303,9.30787183909459,3.3954849800267923,5.297451946164033,0.1607139169713765,0.7687935425446013,-0.25215586417496594,0.7438766521907292,854.6774721891245,610.5326134590852,506.2832603279826,2058.55665876075,0.41518287512358215,0.29658285617778224,0.24594089172786734,1.2059111199203916,5.91849982149994,6.9693029987144,2
